BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES7801827402510201650117
Google      : INFO     Entering SWIFT Code.
Google      : INFO     PFPFESBB
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.189.66.45:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop10
Google      : INFO     Entering Password: gX3YZvgYeA
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES2201827402510201650155
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ACAGESMM
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES8901827402540201650063
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BGSAESMM
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4101827402500201650056
Google      : INFO     Entering SWIFT Code.
Google      : INFO     CGDIESMMXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4101827402500201650056
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ACAGESMMXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ACORESMM
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Banks Added..
Google      : INFO     Closing Session...
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 217.67.173.116:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Need to bypass this.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 7
Google      : INFO     Remaining Banks: 6 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 6
Google      : INFO     Remaining Banks: 5 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 5
Google      : INFO     Remaining Banks: 4 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 4
Google      : INFO     Remaining Banks: 3 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 3
Google      : INFO     Remaining Banks: 2 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 2
Google      : INFO     Remaining Banks: 1 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ABGOESSEXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Banks Added..
Google      : INFO     Closing Session...
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.159.43.216:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Need to bypass this.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 7
Google      : INFO     Remaining Banks: 6 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 6
Google      : INFO     Remaining Banks: 5 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 5
Google      : INFO     Remaining Banks: 4 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 4
Google      : INFO     Remaining Banks: 3 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 3
Google      : INFO     Remaining Banks: 2 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 2
Google      : INFO     Remaining Banks: 1 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 3
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 217.67.175.83:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 4
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.159.42.133:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4101827402500201650056
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ABIRESBB
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BBVAESMMCFI
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.119.49.14:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BBSGESM1
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.119.48.98:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     
Google      : INFO     Entering SWIFT Code.
Google      : INFO     PFPFESBB
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Banks Added..
Google      : INFO     Closing Session...
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 217.67.174.173:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 2
Google      : INFO     Remaining Banks: 1 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES0701827402570201650131
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BBFIES21XXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES5601827402530201650124
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BNPAESMHXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BPAVESM1
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Banks Added..
Google      : INFO     Closing Session...
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.119.51.188:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Need to bypass this.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 7
Google      : INFO     Remaining Banks: 6 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 6
Google      : INFO     Remaining Banks: 5 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 5
Google      : INFO     Remaining Banks: 4 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 4
Google      : INFO     Remaining Banks: 3 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 3
Google      : INFO     Remaining Banks: 2 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 2
Google      : INFO     Remaining Banks: 1 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ACAGESMMXXX
Google      : INFO     Submitting..
Google      : INFO     Logging..
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.119.49.133:58542
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.119.51.135:58542
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 217.67.173.158:58542
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.159.42.72:58542
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.159.43.200:58542
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.159.43.105:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop128
Google      : INFO     Entering Password: 9c7ieeAZMN
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     
Google      : INFO     Entering SWIFT Code.
Google      : INFO     PFPFESBB
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
